ID,DESCRIPTION,Attribut1,Additional Feature,Application,Characteristic,Temp,Height,Length in mm,Rating,Material,Size,Code,Joule-integral-Nom (J),LC Risk,Maximum AC Voltage Rating,Maximum DC Voltage Rating,Maximum Power Dissipation,Mounting,Mounting Feature,Number of Terminals,Operating Temperature-Max (Cel),Operating Temperature-Min (Cel),Physical Dimension,Pre-arcing time-Min (ms),Product Diameter,Product Length,Rated Breaking Capacity (A),Rated Current (A),Rated Voltage (V),Rated Voltage(AC) (V),Rated Voltage(DC) (V),SIMILAR_PARTS
a1,indicator red fast movement 1.6a 250v holder plastic 5 x 20mm ceramic box cccpsevdeculus electric indicator very fast blow 1.6a 250vac 1500a ir inlineholder 5x20mm,fast,,primary protection in equipment,very fast,,20mm,5.2mm,1.6a,ceramic,5 x 20mm,,0.755j,low,250v,,4w,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,3ms,5.2mm,20mm,1500a,1.6a,250v,250v,,"[['a253', 'indicator red fast movement 1.6a 250v holder plastic 5 x 20mm ceramic bulk ccccecsakcpsesemkoulvde electric indicator fast blow 1.6a 250vac 1500a ir inlineholder 5x20mm'], ['a254', 'indicator red fast movement 1.6a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 1.6a 250vac 1500a ir inlineholder'], ['a97', 'indicator red slow blow movement 1.6a 250v holder plastic 5 x 20mm ceramic box electric indicator medium time lag blow 1.6a 250vac 125vdc 1000a ir inlineholder'], ['a478', 'indicator red fast movement 0.6a 250v holder plastic melf 6.3 x 32mm glass csaul electric indicator fast blow 0.6a 250vac 35a ir inlineholder'], ['a252', 'indicator red fast movement 1.6a 250v axial 5 x 20mm ceramic bulk ccccecsakcpsesemkoulvde electric indicator fast blow 1.6a 250vac 1500a ir through hole 5x20mm']]"
a2,non resettable indicators electric indicator very fast blow 6.3a 250vac 1500a ir inlineholder 5x20mm,,,primary protection in equipment,very fast,,20mm,5.2mm,,ceramic,5 x 20mm,e2,36.7j,low,,,,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,3ms,5.2mm,20mm,1500a,6.3a,250v,250v,,"[['a4', 'non resettable indicators electric indicator very fast blow 10a 250vac 1500a ir inlineholder 5x20mm'], ['a16', 'non resettable indicators electric indicator time lag blow 5a 250vac 150vdc 1500a ir inlineholder 5x20mm'], ['a10', 'non resettable indicators electric indicator time lag blow 2a 250vac 300vdc 1500a ir inlineholder 5x20mm'], ['a15', 'non resettable indicators electric indicator time lag blow 4a 250vac 150vdc 1500a ir inlineholder 5x20mm'], ['a99', 'non resettable indicators electric indicator medium time lag blow 4a 250vac 125vdc 1000a ir inlineholder']]"
a3,indicator red fast movement 8a 250v holder plastic 5 x 20mm ceramic box kcpsevdeculus electric indicator very fast blow 8a 250vac 1500a ir inlineholder 5x20mm,fast,,primary protection in equipment,very fast,,20mm,5.2mm,8a,ceramic,5 x 20mm,e2,81.9j,low,250v,,4w,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500a,8a,250v,250v,,"[['a81', 'indicator red very fast movement 8a 250v holder plastic 5 x 20mm ceramic box electric indicator super fast blow 8a 250vac 1500a ir inlineholder 5x20mm'], ['a19', 'indicator red slow blow movement 8a 250v holder plastic melf 5 x 20mm ceramic bulk kcpsevdeculus electric indicator time lag blow 8a 250vac 150vdc 1000a ir inlineholder 5x20mm'], ['a247', 'indicator red fast movement 8a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 8a 250vac 1500a ir inlineholder'], ['a278', 'indicator red fast movement 0.8a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 0.8a 250vac 1500a ir inlineholder'], ['a246', 'indicator red fast movement 8a 250v holder plastic 5 x 20mm ceramic bulk cecsakcpsesemkotuvvdeculus electric indicator fast blow 8a 250vac 1500a ir inlineholder 5x20mm']]"
a4,non resettable indicators electric indicator very fast blow 10a 250vac 1500a ir inlineholder 5x20mm,,,primary protection in equipment,very fast,,20mm,5.2mm,,ceramic,5 x 20mm,e2,141j,low,,,,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500a,10a,250v,250v,,"[['a2', 'non resettable indicators electric indicator very fast blow 6.3a 250vac 1500a ir inlineholder 5x20mm'], ['a16', 'non resettable indicators electric indicator time lag blow 5a 250vac 150vdc 1500a ir inlineholder 5x20mm'], ['a10', 'non resettable indicators electric indicator time lag blow 2a 250vac 300vdc 1500a ir inlineholder 5x20mm'], ['a15', 'non resettable indicators electric indicator time lag blow 4a 250vac 150vdc 1500a ir inlineholder 5x20mm'], ['a99', 'non resettable indicators electric indicator medium time lag blow 4a 250vac 125vdc 1000a ir inlineholder']]"
a5,indicator red fast movement 12.5a 250v holder plastic 5 x 20mm ceramic box pseculus electric indicator very fast blow 12.5a 250vac 500a ir inlineholder 5x20mm,fast,,primary protection in equipment,very fast,,20mm,5.2mm,12.5a,ceramic,5 x 20mm,,203j,low,250v,,6.9typw,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,10ms,5.2mm,20mm,500a,12.5a,250v,250v,,"[['a6', 'indicator red fast movement 12.5a 250v holder plastic 5 x 20mm ceramic bulk pseculus electric indicator very fast blow 12.5a 250vac 500a ir inlineholder 5x20mm'], ['a57', 'indicator red slow blow movement 12.5a 250v holder plastic melf 5 x 20mm ceramic tr cccvdeculus electric indicator time lag blow 12.5a 250vac 125vdc 500a ir surface mount'], ['a267', 'indicator red fast movement 12.5a 250v holder plastic 5 x 20mm ceramic bulk cecsapseulvde electric indicator fast blow 12.5a 250vac 1500a ir inlineholder 5x20mm'], ['a56', 'indicator red slow blow movement 12.5a 250v holder plastic melf 5 x 20mm ceramic bag cccvdeculus electric indicator time lag blow 12.5a 250vac 125vdc 500a ir surface mount'], ['a255', 'indicator red fast movement 2.5a 250v holder plastic 5 x 20mm ceramic bulk ccccecsakcpsesemkoulvde electric indicator fast blow 2.5a 250vac 1500a ir inlineholder 5x20mm']]"
a6,indicator red fast movement 12.5a 250v holder plastic 5 x 20mm ceramic bulk pseculus electric indicator very fast blow 12.5a 250vac 500a ir inlineholder 5x20mm,fast,,primary protection in equipment,very fast,,20mm,5.2mm,12.5a,ceramic,5 x 20mm,,203j,low,250v,,6.9typw,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,10ms,5.2mm,20mm,500a,12.5a,250v,250v,,"[['a5', 'indicator red fast movement 12.5a 250v holder plastic 5 x 20mm ceramic box pseculus electric indicator very fast blow 12.5a 250vac 500a ir inlineholder 5x20mm'], ['a267', 'indicator red fast movement 12.5a 250v holder plastic 5 x 20mm ceramic bulk cecsapseulvde electric indicator fast blow 12.5a 250vac 1500a ir inlineholder 5x20mm'], ['a57', 'indicator red slow blow movement 12.5a 250v holder plastic melf 5 x 20mm ceramic tr cccvdeculus electric indicator time lag blow 12.5a 250vac 125vdc 500a ir surface mount'], ['a56', 'indicator red slow blow movement 12.5a 250v holder plastic melf 5 x 20mm ceramic bag cccvdeculus electric indicator time lag blow 12.5a 250vac 125vdc 500a ir surface mount'], ['a255', 'indicator red fast movement 2.5a 250v holder plastic 5 x 20mm ceramic bulk ccccecsakcpsesemkoulvde electric indicator fast blow 2.5a 250vac 1500a ir inlineholder 5x20mm']]"
a7,indicator red fast movement 20a 250v holder plastic 6.3 x 32mm glass box electric indicator very fast blow 20a 250vac 1000a ir h inlineholder,fast,,industrial electronic,very fast,,31.8mm,6.35mm,20a,glass,6.3 x 32mm,,846j,low,250v,,11.5typw,holder,inlineholder,2.0,85cel,-40cel,6.35mm  x  31.8mm,20ms,6.35mm,31.8mm,1000a,20a,250v,250v,,"[['a115', 'indicator red slow blow movement 20a 250v holder plastic 6.3 x 32mm glass box csa electric indicator time lag blow 20a 250vac 200a ir inlineholder'], ['a438', 'indicator electric indicator 20a 1000a ir inlineholder'], ['a460', 'indicator 20a 32v fast movement electric indicator fast blow 20a 32vac 300a ir inlineholder'], ['a493', 'indicator red slow blow movement 20a 250v holder plastic melf 6.3 x 32mm ceramic bulk cecsapseulculus electric indicator time lag blow 20a 250vac 250vdc 400a ir inlineholder 3ab'], ['a484', 'indicator red slow blow movement 20a 250v axial 6.3 x 32mm ceramic bulk cecsakcpseulculus electric indicator time lag blow 20a 250vac 250vdc 400a ir through hole 3ab']]"
a8,indicator slow blow movement 1.25a 5 x 20mm ceramic electric indicator 5 x 20mm,slow blow,,power supply adapterprimary protection on pcbswitching mode power supply,,,,,1.25a,ceramic,5 x 20mm,,,,,,5.4w,,,,,,,,,,,,,,,"[['a121', 'indicator slow blow movement 2.25a 5 x 20mm glass electric indicator 5 x 20mm'], ['a323', 'indicator slow blow movement 0.25a holder 5 x 20mm glass electric indicator 5 x 20mm'], ['a336', 'indicator slow blow movement 5 x 20mm electric indicator 5 x 20mm'], ['a340', 'indicator slow blow movement 5 x 20mm electric indicator 5 x 20mm'], ['a21', 'indicator slow blow movement 2.5a 5 x 20mm ceramic electric indicator 5 x 20mm']]"
a9,indicator red slow blow movement 1a 250v holder plastic melf 5 x 20mm ceramic box ccccsapsevdeculus electric indicator time lag blow 1a 250vac 300vdc 1500a ir inlineholder 5x20mm,slow blow,rated breaking capacity at 300 vdc: 1500 a,power supply adapterprimary protection in equipmentswitching mode power supply,time lag,,20mm,5.2mm,1a,ceramic,5x20mm,,1.1j,low,250v,300v,2.5w,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500a,1a,250v,250v,300v,"[['a26', 'indicator red slow blow movement 1a 250v holder plastic melf 5 x 20mm ceramic tr cccvdeculus electric indicator time lag blow 1a 250vac 300vdc 1500a ir surface mount'], ['a24', 'indicator red slow blow movement 1a 250v holder plastic melf 5 x 20mm ceramic bag cccvdeculus electric indicator time lag blow 1a 250vac 300vdc 1500a ir surface mount'], ['a242', 'indicator red fast movement 1a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 1a 250vac 1500a ir inlineholder'], ['a266', 'indicator red fast movement 0.1a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 0.1a 250vac 1500a ir inlineholder'], ['a293', 'indicator red slow blow movement 1a 250v holder plastic 5 x 20mm glass bulk ccccecsakcpsesemkoulvde electric indicator time lag blow 1a 250vac 35a ir supplemental inlineholder 5x20mm']]"
a10,non resettable indicators electric indicator time lag blow 2a 250vac 300vdc 1500a ir inlineholder 5x20mm,,rated breaking capacity at 300 vdc: 1500 a,power supply adapterprimary protection on pcbswitching mode power supply,time lag,,20mm,5.2mm,,ceramic,5x20mm,,9.2j,low,,,,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500a,2a,250v,250v,300v,"[['a16', 'non resettable indicators electric indicator time lag blow 5a 250vac 150vdc 1500a ir inlineholder 5x20mm'], ['a15', 'non resettable indicators electric indicator time lag blow 4a 250vac 150vdc 1500a ir inlineholder 5x20mm'], ['a2', 'non resettable indicators electric indicator very fast blow 6.3a 250vac 1500a ir inlineholder 5x20mm'], ['a4', 'non resettable indicators electric indicator very fast blow 10a 250vac 1500a ir inlineholder 5x20mm'], ['a99', 'non resettable indicators electric indicator medium time lag blow 4a 250vac 125vdc 1000a ir inlineholder']]"
a11,indicator red slow blow movement 2a 250v axial 5 x 20mm ceramic tr culus electric indicator time lag blow 2a 250vac 300vdc 1500a ir through hole,slow blow,rated breaking capacity at 300 vdc: 1500 a,primary protection on pcbpower supply adapter for laptopswitching mode power supply,time lag,,22.5mm,5.4mm,2a,ceramic,5 x 20mm,e3,9.2j,low,250v,300v,2.5w,through hole,through hole,2.0,125cel,-55cel,5.4mm  x  22.5mm,10ms,5.4mm,22.5maxmm,1500a,2a,250v,250v,300v,"[['a107', 'indicator red slow blow movement 2a 250v axial 5.4 x 22.5mm glass bulk culus electric indicator time lag blow 2a 250vac 35a ir through hole'], ['a34', 'indicator red slow blow movement 2a 250v holder plastic melf 5 x 20mm ceramic tr cccvdeculus electric indicator time lag blow 2a 250vac 300vdc 1500a ir surface mount'], ['a32', 'indicator red slow blow movement 2a 250v holder plastic melf 5 x 20mm ceramic bag cccvdeculus electric indicator time lag blow 2a 250vac 300vdc 1500a ir surface mount'], ['a233', 'indicator red slow blow movement 2a 250v holder plastic 5 x 20mm ceramic bulk ccccecsakcpsesemkoulvde electric indicator time lag blow 2a 250vac 1500a ir supplemental inlineholder 5x20mm'], ['a234', 'indicator red slow blow movement 2a 250v holder plastic 5 x 20mm ceramic bulk ccccecsakcpsesemkoulvde electric indicator time lag blow 2a 250vac 250vdc 1500a ir inlineholder 5x20mm']]"
a12,red indicator 5 x 20 mm electric indicator time lag blow 2.5a 250vac 300vdc 1500a ir inlineholder 5x20mm,,rated breaking capacity at 300 vdc: 1500 a,,time lag,,20mm,5.2mm,,,5x20mm,,11.7j,low,,,,,inlineholder,,125cel,-55cel,5.2mm  x  20mm,10ms,,,1500a,2.5a,250v,250v,300v,"[['a111', 'red indicator 5 x 20 mm time-lag t l 250 vac electric indicator time lag blow 10a 250vac 100a ir l inlineholder 5x20mm'], ['a105', 'red indicator 5 x 20 mm time-lag t l 250 vac electric indicator'], ['a91', 'red indicator 5 x 20 mm quick-movement f l 250 vac electric indicator fast blow 1.6a 250vac 35a ir inlineholder 5x20mm'], ['a13', 'indicator red slow blow movement 2.5a 250v holder plastic melf 5 x 20mm ceramic bulk ccccsapseulculus electric indicator time lag blow 2.5a 250vac 300vdc 1500a ir inlineholder 5x20mm'], ['a37', 'indicator red slow blow movement 2.5a 250v holder plastic melf 5 x 20mm ceramic tr cccvdeculus electric indicator time lag blow 2.5a 250vac 300vdc 1500a ir surface mount']]"
a13,indicator red slow blow movement 2.5a 250v holder plastic melf 5 x 20mm ceramic bulk ccccsapseulculus electric indicator time lag blow 2.5a 250vac 300vdc 1500a ir inlineholder 5x20mm,slow blow,rated breaking capacity at 300 vdc: 1500 a,power supply adapterprimary protection in equipmentswitching mode power supply,time lag,,20mm,5.2mm,2.5a,ceramic,5x20mm,e2,11.7j,low,250v,300v,2.5w,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500a,2.5a,250v,250v,300v,"[['a37', 'indicator red slow blow movement 2.5a 250v holder plastic melf 5 x 20mm ceramic tr cccvdeculus electric indicator time lag blow 2.5a 250vac 300vdc 1500a ir surface mount'], ['a35', 'indicator red slow blow movement 2.5a 250v holder plastic melf 5 x 20mm ceramic bag cccvdeculus electric indicator time lag blow 2.5a 250vac 300vdc 1500a ir surface mount'], ['a255', 'indicator red fast movement 2.5a 250v holder plastic 5 x 20mm ceramic bulk ccccecsakcpsesemkoulvde electric indicator fast blow 2.5a 250vac 1500a ir inlineholder 5x20mm'], ['a239', 'indicator red slow blow movement 2.5a 250v holder plastic 5 x 20mm ceramic bulk bsiccccecsakcpsesemkoulvde electric indicator time lag blow 2.5a 250vac 250vdc 1500a ir inlineholder 5x20mm'], ['a299', 'indicator red slow blow movement 5a 250v holder plastic 5 x 20mm glass bulk ccccecsakcpsesemkoulvde electric indicator time lag blow 5a 250vac 50a ir supplemental inlineholder 5x20mm']]"
a14,indicator red slow blow movement 3.15a 250v holder plastic 5 x 20mm ceramic bulk ccccsapseulvdeculus electric indicator time lag blow 3.15a 250vac 300vdc 1500a ir inlineholder 5x20mm,slow blow,rated breaking capacity at 300 vdc: 1500 a,power supply adapterprimary protection in equipmentswitching mode power supply,time lag,,20mm,5.2mm,3.15a,ceramic,5 x 20mm,e2,33.7j,low,250v,300v,4w,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500a,3.15a,250v,250v,300v,"[['a40', 'indicator red slow blow movement 3.15a 250v holder plastic melf 5 x 20mm ceramic tr cccvdeculus electric indicator time lag blow 3.15a 250vac 300vdc 1500a ir surface mount'], ['a38', 'indicator red slow blow movement 3.15a 250v holder plastic melf 5 x 20mm ceramic bag cccvdeculus electric indicator time lag blow 3.15a 250vac 300vdc 1500a ir surface mount'], ['a324', 'indicator red slow blow movement 3.15a 250v holder plastic 5 x 20mm glass bulk ccccecsakcpsesemkoulvde electric indicator time lag blow 3.15a 250vac 35a ir supplemental inlineholder 5x20mm'], ['a92', 'indicator red fast movement 3.15a 250v holder plastic 5 x 20mm glass cccpsevdeculus electric indicator fast blow 3.15a 250vac 35a ir inlineholder 5x20mm'], ['a446', 'indicator slow blow movement 15a holder electric indicator']]"
a15,non resettable indicators electric indicator time lag blow 4a 250vac 150vdc 1500a ir inlineholder 5x20mm,,rated breaking capacity at 150 vdc: 1500 a,power supply adapterprimary protection on pcbswitching mode power supply,time lag,,20mm,5.2mm,,ceramic,5x20mm,,62.4j,low,,,,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500a,4a,250v,250v,150v,"[['a16', 'non resettable indicators electric indicator time lag blow 5a 250vac 150vdc 1500a ir inlineholder 5x20mm'], ['a10', 'non resettable indicators electric indicator time lag blow 2a 250vac 300vdc 1500a ir inlineholder 5x20mm'], ['a2', 'non resettable indicators electric indicator very fast blow 6.3a 250vac 1500a ir inlineholder 5x20mm'], ['a4', 'non resettable indicators electric indicator very fast blow 10a 250vac 1500a ir inlineholder 5x20mm'], ['a99', 'non resettable indicators electric indicator medium time lag blow 4a 250vac 125vdc 1000a ir inlineholder']]"
a16,non resettable indicators electric indicator time lag blow 5a 250vac 150vdc 1500a ir inlineholder 5x20mm,,rated breaking capacity at 150 vdc: 1500 a,,time lag,,20mm,5.2mm,,,5x20mm,,97.5j,low,,,,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500a,5a,250v,250v,150v,"[['a15', 'non resettable indicators electric indicator time lag blow 4a 250vac 150vdc 1500a ir inlineholder 5x20mm'], ['a10', 'non resettable indicators electric indicator time lag blow 2a 250vac 300vdc 1500a ir inlineholder 5x20mm'], ['a2', 'non resettable indicators electric indicator very fast blow 6.3a 250vac 1500a ir inlineholder 5x20mm'], ['a4', 'non resettable indicators electric indicator very fast blow 10a 250vac 1500a ir inlineholder 5x20mm'], ['a99', 'non resettable indicators electric indicator medium time lag blow 4a 250vac 125vdc 1000a ir inlineholder']]"
a17,indicator red slow blow movement 6.3a 250v holder plastic melf 5 x 20mm ceramic bulk cccpseculus electric indicator time lag blow 6.3a 250vac 150vdc 1500a ir inlineholder 5x20mm,slow blow,rated breaking capacity at 150 vdc: 1500 a,power supply adapterprimary protection in equipmentswitching mode power supply,time lag,,20mm,5.2mm,6.3a,ceramic,5x20mm,e2,171j,low,250v,150v,4w,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500a,6.3a,250v,250v,150v,"[['a49', 'indicator red slow blow movement 6.3a 250v holder plastic melf 5 x 20mm ceramic tr cccvdeculus electric indicator time lag blow 6.3a 250vac 150vdc 1500a ir surface mount'], ['a47', 'indicator red slow blow movement 6.3a 250v holder plastic melf 5 x 20mm ceramic bag cccvdeculus electric indicator time lag blow 6.3a 250vac 150vdc 1500a ir surface mount'], ['a241', 'indicator red slow blow movement 6.3a 250v holder plastic 5 x 20mm ceramic bulk ccccecsakcpsesemkoulvde electric indicator time lag blow 6.3a 250vac 250vdc 1500a ir inlineholder 5x20mm'], ['a258', 'indicator red fast movement 6.3a 250v holder plastic 5 x 20mm ceramic bulk ccccecsakcpsesemkoulvde electric indicator fast blow 6.3a 250vac 1500a ir inlineholder 5x20mm'], ['a259', 'indicator red fast movement 6.3a 250v holder plastic 5 x 20mm ceramic bulk ccccecsakcpsesemkoulvde electric indicator fast blow 6.3a 250vac 1500a ir inlineholder 5x20mm']]"
a18,indicator slow blow movement 8a holder 5 x 20mm ceramic electric indicator 5 x 20mm,slow blow,,power supply adapterprimary protection in equipmentswitching mode power supply,,,,,8a,ceramic,5 x 20mm,,,,250v,150v,4w,holder,,2.0,,,,,5.2mm,20mm,,,,,,"[['a248', 'indicator fast movement 8a holder 5 x 20mm ceramic electric indicator 5 x 20mm'], ['a282', 'indicator fast movement 8a holder 5 x 20mm glass electric indicator 5 x 20mm'], ['a240', 'indicator slow blow movement 2.5a holder 5 x 20mm ceramic electric indicator 5 x 20mm'], ['a336', 'indicator slow blow movement 5 x 20mm electric indicator 5 x 20mm'], ['a340', 'indicator slow blow movement 5 x 20mm electric indicator 5 x 20mm']]"
a19,indicator red slow blow movement 8a 250v holder plastic melf 5 x 20mm ceramic bulk kcpsevdeculus electric indicator time lag blow 8a 250vac 150vdc 1000a ir inlineholder 5x20mm,slow blow,rated breaking capacity at 150 vdc: 1500 a,power supply adapterprimary protection in equipmentswitching mode power supply,time lag,,20mm,5.2mm,8a,ceramic,5x20mm,e2,268j,low,250v,150v,4w,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1000a,8a,250v,250v,150v,"[['a52', 'indicator red slow blow movement 8a 250v holder plastic melf 5 x 20mm ceramic tr cccvdeculus electric indicator time lag blow 8a 250vac 150vdc 1000a ir surface mount'], ['a50', 'indicator red slow blow movement 8a 250v holder plastic melf 5 x 20mm ceramic bag cccvdeculus electric indicator time lag blow 8a 250vac 150vdc 1000a ir surface mount'], ['a3', 'indicator red fast movement 8a 250v holder plastic 5 x 20mm ceramic box kcpsevdeculus electric indicator very fast blow 8a 250vac 1500a ir inlineholder 5x20mm'], ['a331', 'indicator red slow blow movement 0.8a 250v holder plastic 5 x 20mm glass bulk ccccecsakcsemkoulvde electric indicator time lag blow 0.8a 250vac 35a ir supplemental inlineholder 5x20mm'], ['a247', 'indicator red fast movement 8a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 8a 250vac 1500a ir inlineholder']]"
a20,indicator red slow blow movement 16a 250v holder plastic 5 x 20mm ceramic box ccccsapseulvdeculus electric indicator time lag blow 16a 250vac 125vdc 500a ir inlineholder 5x20mm,slow blow,rated breaking capacity at 125 vdc: 1500 a,power supply adapterprimary protection on pcbswitching mode power supply,time lag,,20mm,5.2mm,16a,ceramic,5x20mm,e2,1500j,low,250v,,4typw,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,20ms,5.2mm,20mm,500a,16a,250v,250v,125v,"[['a59', 'indicator red slow blow movement 16a 250v holder plastic melf 5 x 20mm ceramic tr cccvdeculus electric indicator time lag blow 16a 250vac 125vdc 500a ir surface mount'], ['a60', 'indicator red slow blow movement 16a 250v holder plastic melf 5 x 20mm ceramic tr cccvdeculus electric indicator time lag blow 16a 250vac 125vdc 500a ir surface mount'], ['a58', 'indicator red slow blow movement 16a 250v holder plastic melf 5 x 20mm ceramic bag cccvdeculus electric indicator time lag blow 16a 250vac 125vdc 500a ir surface mount'], ['a112', 'indicator red slow blow movement 16a 250v holder plastic 5 x 20mm glass box psevdeculus electric indicator time lag blow 16a 250vac 160a ir l inlineholder 5x20mm'], ['a23', 'indicator red slow blow movement 16a 250v holder plastic 6.3 x 32mm glass box ul electric indicator time lag blow 16a 250vac 1000a ir h inlineholder']]"
a21,indicator slow blow movement 2.5a 5 x 20mm ceramic electric indicator 5 x 20mm,slow blow,,power supply adapterprimary protection on pcbswitching mode power supply,,,,,2.5a,ceramic,5 x 20mm,,,,250v,,,,,,,,,,,,,,,,,"[['a228', 'indicator slow blow movement 0.5a 5 x 20mm electric indicator 5 x 20mm'], ['a240', 'indicator slow blow movement 2.5a holder 5 x 20mm ceramic electric indicator 5 x 20mm'], ['a217', 'indicator slow blow movement 5a 5 x 20mm glass electric indicator 5 x 20mm'], ['a336', 'indicator slow blow movement 5 x 20mm electric indicator 5 x 20mm'], ['a340', 'indicator slow blow movement 5 x 20mm electric indicator 5 x 20mm']]"
a22,indicator red slow blow movement 6.3a 250v holder plastic 6.3 x 32mm glass box ul electric indicator time lag blow 6.3a 250vac 1500a ir h inlineholder,slow blow,,motor circuit,time lag,,31.8mm,6.35mm,6.3a,glass,6.3 x 32mm,,224j,low,250v,,1.9typw,holder,inlineholder,2.0,85cel,-40cel,6.35mm  x  31.8mm,15ms,6.35mm,31.8mm,1500a,6.3a,250v,250v,,"[['a82', 'indicator red very fast movement 6.3a 250v holder plastic 6.3 x 32mm glass box electric indicator super fast blow 6.3a 250vac 1500a ir inlineholder'], ['a100', 'indicator red slow blow movement 6.3a 250v holder plastic 5 x 20mm ceramic box electric indicator medium time lag blow 6.3a 250vac 125vdc 1000a ir inlineholder'], ['a110', 'indicator red slow blow movement 6.3a 250v holder plastic 5 x 20mm glass box cccpsevdeculus electric indicator time lag blow 6.3a 250vac 63a ir l inlineholder 5x20mm'], ['a475', 'indicator red fast movement 0.3a 250v holder plastic melf 6.3 x 32mm glass csaul electric indicator fast blow 0.3a 250vac 35a ir inlineholder'], ['a241', 'indicator red slow blow movement 6.3a 250v holder plastic 5 x 20mm ceramic bulk ccccecsakcpsesemkoulvde electric indicator time lag blow 6.3a 250vac 250vdc 1500a ir inlineholder 5x20mm']]"
a23,indicator red slow blow movement 16a 250v holder plastic 6.3 x 32mm glass box ul electric indicator time lag blow 16a 250vac 1000a ir h inlineholder,slow blow,,motor circuit,time lag,,31.8mm,6.35mm,16a,glass,6.3 x 32mm,e2,1690j,low,250v,,3.8typw,holder,inlineholder,2.0,85cel,-40cel,6.35mm  x  31.8mm,15ms,6.35mm,31.8mm,1000a,16a,250v,250v,,"[['a20', 'indicator red slow blow movement 16a 250v holder plastic 5 x 20mm ceramic box ccccsapseulvdeculus electric indicator time lag blow 16a 250vac 125vdc 500a ir inlineholder 5x20mm'], ['a112', 'indicator red slow blow movement 16a 250v holder plastic 5 x 20mm glass box psevdeculus electric indicator time lag blow 16a 250vac 160a ir l inlineholder 5x20mm'], ['a59', 'indicator red slow blow movement 16a 250v holder plastic melf 5 x 20mm ceramic tr cccvdeculus electric indicator time lag blow 16a 250vac 125vdc 500a ir surface mount'], ['a60', 'indicator red slow blow movement 16a 250v holder plastic melf 5 x 20mm ceramic tr cccvdeculus electric indicator time lag blow 16a 250vac 125vdc 500a ir surface mount'], ['a269', 'indicator red fast movement 0.16a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 0.16a 250vac 1500a ir inlineholder']]"
a24,indicator red slow blow movement 1a 250v holder plastic melf 5 x 20mm ceramic bag cccvdeculus electric indicator time lag blow 1a 250vac 300vdc 1500a ir surface mount,slow blow,rated breaking capacity at 300 vdc: 1500 a,motor circuit,time lag,,20mm,5.2mm,1a,ceramic,5 x 20mm,e4,1.1j,low,250v,300v,2.5w,holder,surface mount,2.0,125cel,-55cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500a,1a,,250v,300v,"[['a26', 'indicator red slow blow movement 1a 250v holder plastic melf 5 x 20mm ceramic tr cccvdeculus electric indicator time lag blow 1a 250vac 300vdc 1500a ir surface mount'], ['a35', 'indicator red slow blow movement 2.5a 250v holder plastic melf 5 x 20mm ceramic bag cccvdeculus electric indicator time lag blow 2.5a 250vac 300vdc 1500a ir surface mount'], ['a32', 'indicator red slow blow movement 2a 250v holder plastic melf 5 x 20mm ceramic bag cccvdeculus electric indicator time lag blow 2a 250vac 300vdc 1500a ir surface mount'], ['a27', 'indicator red slow blow movement 1.25a 250v holder plastic melf 5 x 20mm ceramic bag cccvdeculus electric indicator time lag blow 1.25a 250vac 300vdc 1500a ir surface mount'], ['a30', 'indicator red slow blow movement 1.6a 250v holder plastic melf 5 x 20mm ceramic bag cccvdeculus electric indicator time lag blow 1.6a 250vac 300vdc 1500a ir surface mount']]"
